ISIN,TICKER,NAME,COUNTRY,SECTOR,WEIGHT
IE00073MUWT4,BMX86B7,"HALEON PLC","UNITED KINGDOM",Pharmaceuticals,0.41%
IE00073MUWT4,BYQFRK5,"WASTE CONNECTIONS INC COM",CANADA,Industrials,0.40%
IE00073MUWT4,6496584,"KOMATSU NPV",JAPAN,Industrials,0.40%
IE00073MUWT4,6356945,"FUJITSU LIMITED",JAPAN,"Information Technology",0.40%
IE00073MUWT4,BKPQZT6,"JD.COM INC USD0.00002 A CLASS","CAYMAN ISLANDS","Consumer Discretionary",0.39%
IE00073MUWT4,B11ZRK9,"LEGRAND SA EUR4",FRANCE,Industrials,0.39%
IE00073MUWT4,6640400,"NEC CORP NPV",JAPAN,"Information Technology",0.39%
IE00073MUWT4,6280215,"GOLD FIELDS LTD ZAR0.50","SOUTH AFRICA",Materials,0.38%
IE00073MUWT4,B19NLV4,"EXPERIAN ORD USD0.10","JERSEY, CHANNEL ISLANDS",Industrials,0.38%
IE00073MUWT4,B03FYZ4,"GOODMAN GRP.",AUSTRALIA,"Real Estate",0.37%
IE00073MUWT4,B5LTM93,"OTSUKA HOLDINGS CO LTD",JAPAN,Pharmaceuticals,0.36%
IE00073MUWT4,6250724,"DAIKIN INDUSTRIES NPV",JAPAN,Industrials,0.36%
IE00073MUWT4,BF2DSG3,"SIKA AG",SWITZERLAND,Materials,0.36%
IE00073MUWT4,BD6K457,"COMPASS GROUP PLC ORD GBP0.1105","UNITED KINGDOM","Consumer Discretionary",0.34%
IE00073MUWT4,BYPC1T4,"ASSA ABLOY SER B NPV (POST SPLIT)",SWEDEN,Industrials,0.34%
IE00073MUWT4,6356934,"FANUC CORP",JAPAN,Industrials,0.34%
IE00073MUWT4,BJT1GR5,"ALCON AG",SWITZERLAND,"Health Care",0.34%
IE00073MUWT4,B4TP9G2,"DOLLARAMA INC COM STK NPV",CANADA,"Consumer Discretionary",0.33%
IE00073MUWT4,5980613,"GIVAUDAN SA CHF10",SWITZERLAND,Materials,0.33%
IE00073MUWT4,B0J7D91,"DAIICHI SANKYO COMPANY LIMITED NPV",JAPAN,"Health Care",0.32%
IE00073MUWT4,6270948,"DISCO CORPORATION NPV",JAPAN,"Information Technology",0.32%
IE00073MUWT4,4031976,"ADIDAS AG NPV (REGD)",GERMANY,"Consumer Discretionary",0.31%
IE00073MUWT4,B3MSM28,"AMADEUS IT GROUP SA EUR0.01",SPAIN,"Consumer Discretionary",0.30%
IE00073MUWT4,5596991,"UCB SA",BELGIUM,Pharmaceuticals,0.30%
IE00073MUWT4,BLDBN52,"ATLAS COPCO AB-B SHS",SWEDEN,Industrials,0.28%
IE00073MUWT4,6196408,"CHUGAI PHARMACY CO. LTD NPV",JAPAN,Pharmaceuticals,0.26%
IE00073MUWT4,BNYK8H9,"TRIP COM GROUP LTD USD0.00125","CAYMAN ISLANDS","Consumer Discretionary",0.25%
IE00073MUWT4,6172323,"CANON INC NPV",JAPAN,"Information Technology",0.25%
IE00073MUWT4,6356525,"FUJIFILM HOLDINGS CORP",JAPAN,"Information Technology",0.24%
IE00073MUWT4,6885074,"TERUMO CORP NPV",JAPAN,"Health Care",0.23%
IE00073MUWT4,6640381,"DENSO CORP",JAPAN,"Consumer Discretionary",0.23%
IE00073MUWT4,5962280,"CHOCOLADEFABRIKEN LINDT & SPRU",SWITZERLAND,"Consumer Staples",0.21%
IE00073MUWT4,5671519,"WOLTERS KLUWER EUR0.12",NETHERLANDS,Industrials,0.20%
IE00073MUWT4,7108918,"ROCHE HOLDINGS AG CHF0.001 (BR)",SWITZERLAND,"Health Care",0.12%
